organism,termination_ll_fba,time_ll_fba,objective_value_ll_fba,termination_cb_big_m_mis_0.5,time_cb_big_m_mis_0.5,objective_value_cb_big_m_mis_0.5,termination_dp_Hull,time_dp_Hull,objective_value_dp_Hull,feasibility_dp_Hull,termination_dp_Indicator,time_dp_Indicator,objective_value_dp_Indicator,feasibility_dp_Indicator,termination_dp_BigM_1000,time_dp_BigM_1000,objective_value_dp_BigM_1000,feasibility_dp_BigM_1000
e_coli_core,OPTIMAL,0,0.874,OPTIMAL,5,0.874,OPTIMAL,0,0.874,true,ERROR,,NaN,false,OPTIMAL,0,0.874,true
iAB_RBC_283,OPTIMAL,0,2.936,OPTIMAL,5,2.936,OPTIMAL,1,2.935,true,ERROR,,NaN,false,OPTIMAL,0,2.936,true
iIS312_Amastigote,OPTIMAL,0,25.339,OPTIMAL,6,25.339,OPTIMAL,1,25.339,true,ERROR,,NaN,false,OPTIMAL,1,25.339,true
iAF692,SUBOPTIMAL,0,0.0,OPTIMAL,6,0.027,SUBOPTIMAL,4,0.0,true,ERROR,,NaN,false,SUBOPTIMAL,1,0.0,true
iSB619,SUBOPTIMAL,0,0.0,OPTIMAL,6,0.158,OPTIMAL,79,0.158,true,ERROR,,NaN,false,INFEASIBLE,15,NaN,false
iNF517,OPTIMAL,9,0.043,OPTIMAL,7,0.043,OPTIMAL,13,0.043,true,ERROR,,NaN,false,INFEASIBLE,0,NaN,false
iHN637,OPTIMAL,4,0.224,OPTIMAL,6,0.224,OPTIMAL,47,0.224,true,ERROR,,NaN,false,OPTIMAL,44,0.224,true
iJB785,OPTIMAL,15,0.054,OPTIMAL,6,0.054,INFEASIBLE,0,NaN,false,ERROR,,NaN,false,INFEASIBLE,1,NaN,false
iNJ661,TIME_LIMIT,1800,0.014,OPTIMAL,8,0.053,SUBOPTIMAL,528,0.052,true,ERROR,,NaN,false,OPTIMAL,833,0.053,true
iSynCJ816,OPTIMAL,1,0.0,ERROR,,,INFEASIBLE,0,NaN,false,ERROR,,NaN,false,INFEASIBLE,0,NaN,false
iJN746,OPTIMAL,332,1.4,OPTIMAL,59,1.4,OPTIMAL,186,1.4,true,ERROR,,NaN,false,OPTIMAL,26,1.4,true
iJR904,SUBOPTIMAL,9,0.0,OPTIMAL,8,0.922,SUBOPTIMAL,5,0.0,true,ERROR,,NaN,false,OPTIMAL,163,0.922,true
iEK1008,SUBOPTIMAL,473,0.0,OPTIMAL,7,0.058,SUBOPTIMAL,4,0.0,true,ERROR,,NaN,false,SUBOPTIMAL,6,0.0,true
iCN900,OPTIMAL,0,0.0,OPTIMAL,6,0.0,OPTIMAL,7,0.0,true,ERROR,,NaN,false,OPTIMAL,0,0.0,true
iYO844,TIME_LIMIT,1800,0.115,OPTIMAL,7,0.118,SUBOPTIMAL,5,0.0,true,ERROR,,NaN,false,SUBOPTIMAL,3,0.0,true
iND750,SUBOPTIMAL,8,0.0,SUBOPTIMAL,8,0.0,TIME_LIMIT,1800,0.097,false,ERROR,,NaN,false,OPTIMAL,1413,0.097,true
iMM904,SUBOPTIMAL,650,0.277,OPTIMAL,12,0.288,TIME_LIMIT,1800,0.223,false,ERROR,,NaN,false,OPTIMAL,1549,0.288,true
iRC1080,OPTIMAL,373,0.0,OPTIMAL,77,0.0,OPTIMAL,35,0.0,true,ERROR,,NaN,false,OPTIMAL,355,0.0,true
iAF1260,TIME_LIMIT,1800,0.0,OPTIMAL,20,0.737,SUBOPTIMAL,117,0.0,true,ERROR,,NaN,false,OPTIMAL,1398,0.737,true
iSDY_1059,OPTIMAL,1457,0.938,OPTIMAL,16,0.938,TIME_LIMIT,1800,0.0,false,ERROR,,NaN,false,TIME_LIMIT,1800,0.038,false
iJO1366,TIME_LIMIT,1800,0.0,OPTIMAL,17,0.982,TIME_LIMIT,1800,0.0,false,ERROR,,NaN,false,SUBOPTIMAL,17,0.0,true
iSbBS512_1146,TIME_LIMIT,1800,0.0,OPTIMAL,39,0.983,TIME_LIMIT,1800,0.0,false,ERROR,,NaN,false,OPTIMAL,1488,0.983,true
iS_1188,TIME_LIMIT,1800,0.832,OPTIMAL,24,0.857,TIME_LIMIT,1800,0.349,false,ERROR,,NaN,false,TIME_LIMIT,1800,0.421,false
iSFV_1184,OPTIMAL,1710,0.894,OPTIMAL,22,0.894,TIME_LIMIT,1800,0.0,false,ERROR,,NaN,false,OPTIMAL,765,0.894,true
iSF_1195,OPTIMAL,1584,0.915,OPTIMAL,13,0.915,TIME_LIMIT,1800,0.0,false,ERROR,,NaN,false,SUBOPTIMAL,8,0.0,true
iSFxv_1172,OPTIMAL,966,0.894,OPTIMAL,21,0.894,TIME_LIMIT,1800,0.571,false,ERROR,,NaN,false,SUBOPTIMAL,11,0.0,true
iML1515,TIME_LIMIT,1800,0.861,OPTIMAL,13,0.877,TIME_LIMIT,1800,0.0,false,ERROR,,NaN,false,SUBOPTIMAL,23,0.0,true
iZ_1308,TIME_LIMIT,1800,0.0,OPTIMAL,22,0.982,TIME_LIMIT,1800,0.0,false,ERROR,,NaN,false,TIME_LIMIT,1800,0.969,false
iAPECO1_1312,TIME_LIMIT,1800,0.934,OPTIMAL,23,0.982,TIME_LIMIT,1800,0.36,false,ERROR,,NaN,false,TIME_LIMIT,1800,0.938,false
iECB_1328,TIME_LIMIT,1800,0.0,OPTIMAL,18,0.982,TIME_LIMIT,1800,0.0,false,ERROR,,NaN,false,SUBOPTIMAL,19,0.0,true
iETEC_1333,TIME_LIMIT,1800,0.0,OPTIMAL,18,0.982,TIME_LIMIT,1800,0.0,false,ERROR,,NaN,false,SUBOPTIMAL,11,0.0,true
iYS1720,TIME_LIMIT,1800,0.0,OPTIMAL,28,0.488,SUBOPTIMAL,67,0.0,true,ERROR,,NaN,false,SUBOPTIMAL,15,0.0,true
iMM1415,OPTIMAL,1550,0.0,OPTIMAL,150,0.0,OPTIMAL,57,0.0,true,ERROR,,NaN,false,OPTIMAL,61,0.0,true
RECON1,OPTIMAL,83,0.0,OPTIMAL,163,0.0,OPTIMAL,53,0.0,true,ERROR,,NaN,false,OPTIMAL,45,0.0,true
iLB1027_lipid,TIME_LIMIT,1800,0.0,TIME_LIMIT,1800,0.36,TIME_LIMIT,1800,0.0,false,ERROR,,NaN,false,TIME_LIMIT,1800,0.0,false
Recon3D,TIME_LIMIT,1800,NaN,TIME_LIMIT,1800,755.003,TIME_LIMIT,1800,NaN,false,ERROR,,NaN,false,TIME_LIMIT,1800,NaN,false
